"filename", "language", "C#", "JSON", "comment", "blank", "total"
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\Directions.cs", "C#", 9, 0, 0, 0, 9
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\OverWorld.cs", "C#", 10, 0, 0, 2, 12
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\Position.cs", "C#", 11, 0, 3, 2, 16
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\Regions.cs", "C#", 42, 0, 13, 5, 60
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\Regions\Fields.cs", "C#", 41, 0, 0, 4, 45
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\Regions\Mountains.cs", "C#", 17, 0, 0, 1, 18
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Exploration\Room.cs", "C#", 55, 0, 10, 8, 73
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Input.cs", "C#", 185, 0, 10, 38, 233
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Interactibles\Examinable.cs", "C#", 17, 0, 0, 4, 21
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Interactibles\Examinables\Stone.cs", "C#", 14, 0, 0, 4, 18
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Interactibles\IInteractable.cs", "C#", 7, 0, 0, 2, 9
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Interactibles\Item.cs", "C#", 17, 0, 0, 4, 21
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Interactibles\Items\Key.cs", "C#", 12, 0, 0, 3, 15
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Player.cs", "C#", 43, 0, 4, 7, 54
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Program.cs", "C#", 19, 0, 0, 3, 22
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Scenes\Dialogue.cs", "C#", 37, 0, 5, 5, 47
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Scenes\Dialogue\Dialogue.json", "JSON", 0, 49, 0, 0, 49
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\Scenes\SceneFlags.cs", "C#", 4, 0, 0, 0, 4
"c:\Users\darks\Documents\VSCode Projects\Text-Adventure\src\UI.cs", "C#", 168, 0, 1, 35, 204
"Total", "-", 708, 49, 46, 127, 930
